,Timestamp,Open,High,Low,Close,Date,%K,%D,Slow %K,Slow %D,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,MinutesSincePeak,MinutesSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv
60,2024-05-29 01:03:48,67680.0,67680.01,67680.0,67680.0,2024-05-29 01:03:48,0.0,0.05546311699810272,0.05546311699810272,0.0462192641650856,False,True,Buy,67680.004,67684.358,0.1659751036478525,2,0,0.0,0.0,False,False,-0.20000000076834112,-40.000000153668225
61,2024-05-29 01:03:49,67680.01,67680.01,67680.0,67680.0,2024-05-29 01:03:49,0.0,0.02773155849905136,0.02773155849905136,0.0462192641650856,False,False,Hold,67680.004,67683.6575,0.6514657977090081,3,1,0.00999999999476131,0.00999999999476131,False,False,0.0,20.000000076834112
62,2024-05-29 01:03:50,67680.01,67680.69,67680.01,67680.69,2024-05-29 01:03:50,22.772277227808363,7.590759075936121,7.590759075936121,2.5579845838110917,False,False,Hold,67680.14199999999,67682.992,18.933333333189495,4,2,0.00999999999476131,0.00999999999476131,False,False,13.799999999173451,1379.9999999173451
63,2024-05-29 01:03:51,67682.47,67683.38,67682.47,67683.38,2024-05-29 01:03:51,100.0,40.924092409269456,40.924092409269456,16.180861014568208,False,False,Hold,67680.81599999999,67682.4605,52.79503105591044,5,3,2.470000000001164,2.470000000001164,False,True,67.39999999990687,5360.000000073342
64,2024-05-29 01:03:52,67683.38,67683.39,67683.38,67683.38,2024-05-29 01:03:52,99.70501474941702,74.1590973257418,74.1590973257418,40.8913162703158,False,False,Hold,67681.48999999999,67682.02900000001,99.41520467866614,6,4,3.3800000000046566,3.3800000000046566,False,True,67.39999999990687,0.0
65,2024-05-29 01:03:53,67683.39,67688.0,67683.39,67688.0,2024-05-29 01:03:53,100.0,99.90167158313902,99.90167158313902,71.66162043938344,False,False,Hold,67683.09,67681.82800000001,99.75124378122419,7,5,3.389999999999418,3.389999999999418,True,False,160.00000000058208,9260.00000006752
66,2024-05-29 01:03:54,67688.0,67694.0,67688.0,67694.0,2024-05-29 01:03:54,100.0,99.90167158313902,99.90167158313902,91.32081349733994,False,False,Hold,67685.88999999998,67681.9275,99.85754985762426,8,6,8.0,8.0,True,True,279.99999999883585,11999.999999825377
67,2024-05-29 01:03:55,67694.0,67701.79,67694.0,67701.79,2024-05-29 01:03:55,100.0,100.0,100.0,99.93444772209268,False,False,Hold,67690.11000000002,67682.86549999999,99.9083829592783,9,7,14.0,14.0,False,False,422.0000000030268,14200.000000419095
68,2024-05-29 01:03:56,67701.79,67701.79,67701.79,67701.79,2024-05-29 01:03:56,100.0,100.0,100.0,99.96722386104635,False,False,Hold,67693.792,67683.80399999999,99.9083829592783,10,8,21.789999999993597,21.789999999993597,True,True,368.19999999861466,-5380.000000441214
69,2024-05-29 01:03:57,67701.79,67708.0,67701.79,67708.0,2024-05-29 01:03:57,100.0,100.0,100.0,100.0,True,False,Sell,67698.71599999999,67685.05299999999,99.92864787731169,0,9,0.0,21.789999999993597,False,False,492.3999999984517,12419.999999983702
70,2024-05-29 01:03:58,67707.99,67708.0,67707.99,67708.0,2024-05-29 01:03:58,100.0,100.0,100.0,100.0,False,False,Hold,67702.71599999999,67686.453,99.96431120629991,1,10,6.2000000000116415,27.99000000000524,True,False,400.0,-9239.999999845168
71,2024-05-29 01:03:59,67708.0,67708.0,67704.57,67704.58,2024-05-29 01:03:59,87.78571428572052,95.9285714285735,95.9285714285735,98.64285714285784,False,False,Hold,67704.832,67687.682,89.09033078882204,2,11,6.210000000006403,28.0,False,False,211.60000000090804,-18839.999999909196
72,2024-05-29 01:04:00,67704.57,67704.58,67689.78,67689.78,2024-05-29 01:04:00,34.928571428567274,74.23809523809594,74.23809523809594,90.0555555555565,False,False,Hold,67702.43,67688.171,60.56673155959867,3,12,2.7800000000133878,24.570000000006985,False,False,-240.20000000018626,-45180.00000010943
